"id","itemid","userid","rawgrade","rawgrademax","rawgrademin","rawscaleid","usermodified","finalgrade","hidden","locked","locktime","exported","overridden","excluded","feedback","feedbackformat","information","informationformat","timecreated","timemodified","aggregationstatus","aggregationweight"
"1","5","4","10.00000","10.00000","0.00000",NULL,"2","10.00000","0","0","0","0","0","0","<p dir=""ltr"" style=""text-align: left;"">good</p><p dir=""ltr"" style=""text-align: left;""><br></p>","1",NULL,"0",NULL,"1660667299","used","0.04839"
"2","2","4",NULL,"155.00000","0.00000",NULL,NULL,"113.00031","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1661941184","unknown",NULL
"3","3","4",NULL,"100.00000","0.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"4","6","4",NULL,"25.00000","9.00000",NULL,"2","10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1660667446","used","0.37096"
"5","7","4","100.00000","100.00000","0.00000",NULL,"2","100.00000","0","0","0","0","0","0","<b>No test case found</b><br>
<br>","1",NULL,"0","1661161287","1661161450","used","0.48387"
"6","8","4","10.00000","10.00000","0.00000",NULL,"4","10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0","1661854624","1661854624","used","0.04839"
"7","8","5","10.00000","10.00000","0.00000",NULL,"5","10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0","1661854578","1661854578","used","1.00000"
"8","2","5",NULL,"10.00000","0.00000",NULL,NULL,"10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1661854578","unknown",NULL
"9","3","5",NULL,"100.00000","0.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"10","5","5",NULL,"10.00000","0.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"11","6","5",NULL,"25.00000","9.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"12","7","5",NULL,"100.00000","0.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"13","11","4","0.00000","10.00000","0.00000",NULL,"4","0.00000","0","0","0","0","0","0",NULL,"0",NULL,"0","1661941184","1661941184","novalue","0.00000"
"14","11","5",NULL,"10.00000","0.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"15","12","5","5.62500","10.00000","0.00000",NULL,"5","5.62500","0","0","0","0","0","0",NULL,"0",NULL,"0","1662011389","1662011389","used","0.00000"
"16","9","5",NULL,"0.00000","0.00000",NULL,NULL,"0.00000","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1662011389","unknown",NULL
"17","10","5",NULL,"2.00000","1.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"18","12","4","0.87500","10.00000","0.00000",NULL,"4","0.87500","0","0","0","0","0","0",NULL,"0",NULL,"0","1662011439","1662011439","used","0.00000"
"19","9","4",NULL,"0.00000","0.00000",NULL,NULL,"0.00000","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1662011439","unknown",NULL
"20","10","4",NULL,"2.00000","1.00000",NULL,NULL,NULL,"0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,NULL,"novalue","0.00000"
"21","13","4","5.83333","10.00000","0.00000",NULL,"4","5.83333","0","0","0","0","0","0",NULL,"0",NULL,"0","1662180468","1662180468","used","0.00000"
"22","13","5","8.33333","10.00000","0.00000",NULL,"5","8.33333","0","0","0","0","0","0",NULL,"0",NULL,"0","1662180546","1662180546","used","0.00000"
"23","15","5","10.00000","10.00000","0.00000",NULL,"5","10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0","1662180936","1662180936","used","1.00000"
"24","14","5",NULL,"10.00000","0.00000",NULL,NULL,"10.00000","0","0","0","0","0","0",NULL,"0",NULL,"0",NULL,"1662180936","unknown",NULL
